question,answer,option1,option2,option3
How to reset password?,Use forgot password option,Reset Password,Contact Support,Try Again
Login issue?,Check username and password,Reset Password,Check Caps Lock,Contact Admin
Website not loading?,Refresh browser and check internet,Refresh Page,Restart Browser,Clear Cache
Payment failed?,Retry payment after checking balance,Retry Payment,Use Another Card,Contact Bank
how are you,Talk with trusted people and family,Call Friend,Talk with Family,Take Rest
who is your professor,deepa is professor for all student like laya and vaseem,mam can deal all subjects,specilist,master in sillent crying
can deal all subjects,yes she can deal all subjects she is masrer mind,,,
specilist,she is specilist in all engineering subjects in all branch is but she is specilest in CSEandCSM branches,,,
master in silent crying,yes she is master in silent crying this information mation is collected by her Aunt ,,,
intrest rate,0%,why,,
why,she is rich,how funds are comming to she,,
how funds are coming to she,by betrying our aunty,if she continuous,what,what
if she continuous,we will inform to our aunty and her's brother our small aunty,how,,
how,by calling aunty and basi uncle,nice,nice,nice
nice,it is good decision,wonderful,,
what is howla,howla is invented by by my friend one and only it a type of a game palying with the people and creating a laughing environment in our surroundings especially with ,why with ,,
why with ,because A9 always in sad mode and feeling sad in inner and act like a happyest girl,why is she is like,,
why is she is like,we dont know it has to know she is not telling with any one she continuely feeling sad,,,
special person, one and only Asst professor deepa,why she is special,,
why she is special,because she is expert in all subjects,,,
iam feeling alone,dont be feel alone we are with you,you have any problem,missing any person in your life,if you missing home
you have any problem,what the problem,missing any person in your life,what is your current mode,
missing any person in your life,who is that person,your daddy,your mother,your brother
your daddy,then share  with him ,sorry for asking this,then see him in person who,
then  see him person who,yes i choosen,how the choosen person with you,is he talking with you,how is the please fullfill
how is the person with you,what is he doing,is he taking care,any sudden change in him,some thing else
is he talking with you,please select the option,yes,no,neutral
yes,nice not problem,dont ask any thing,,
dont ask any thing,no answwer he is talking with you,,,
no,ask to him why and always belive some thing special that will be happen,if you fill him,,
neutral,how he is talking,only one phone call in a day,only for  fill what you know,talking with you
only for fill what you know,if it is correct select the option ,answer for,,
answer for, ask him in cool,if the resut in fill,is he asking to outing,
is he asking to outing,do go to oouting,why,any high pressure ,
any high pressure,tell that parents are not gien acces to outing,if you go,,
if you go,we will seee and we do do the work what the work is you knou that,what is that work,,
what is that work,you know clearly we will,we menans,,
we means,laya and vaseem,,,
some thing else,any sudden change,why for,yes 56,no 56
yes 56,donot be sad or dont cry,if you are crying,if your sad,any alone feeling
why for,then think why your are feeling alone,select one option if you want,what will be next if you feel alone,think about yor family because yours family members are trusting you
no 56,then happy  good and always belive some thing special that will be happen,belive in your self,donot betry our anunty,select these
select these,if you feel alone goto studies and go deeo in into it,if you not focousing,any distrubance,some thing is coming in your mind
if you not focusing,just wash your face or go to to some temples,some temples,listen music,spend time with the persons who are talking withyou and you feel comfortable and trustrd
spend time with the persons who are talking withyou and you feel comfortable and trustrd,with ypur family after your friends,,,
if your sad,donot feel sad and ask your inner person why iam  feeling sad and alone,select these for,,
select these for,for any alone feeling and sad or any emotional thing that happens there has a reason,if you any emotional feel,,
if you have any emotional feel,that comes from missing you most liked ones or loved ones(not that person in college) that place cant be replaceable any person(sorry for these),if any person like ,,
any person like,you most liked and loved person are you seen in present,if you see,not see,how is the person with you
how is the person with you,he giving the time to you,tell yes,select the option for,or neutral
select the option for,in the world or with person the things happen in life and evey feeling and every thing happen,for more select these,,
for more select these,every thing that has a reason but dont loose the hope every person in his life one day he will change dont feel sad and dont be in alone mode and overthing talk with your family and friends in college ,for your health,,
for your health,sleep well and it is most importnat thing is eat the food,last thing,,
last thing,be happy dont feel alone we are with you thanku for using SLV AI (created by Drvaseem) we always welcomes you for any thing,for google meet ,,
for google meet,we have to send and write the requesting letters to our professor vaseem and we,forget we are recurting,whom,
whom,we recently sent a mail to Asst professor she is not replayed to that,so what next,,
so what next,nothing she is richkid that the cause she not accpcted the offer,what is the salary,,
what is the salary,based upon her teaching,where is she,,
where is she,she is in her home,what is she doing,,
what is she doing,she touchering and beating her brothers like puni and lucky and her small brother to study in holidays,why she is like that,,
why she is like,because she is topper in collee nice ,,,
hi,always belive somet hing special that will be happen,,,
question,answer,option1,option2,option3
How to reset password?,Use forgot password option to create a new password,Reset Password,Contact Support,Try Again
Login issue?,Check username and password carefully before login,Reset Password,Check Caps Lock,Contact Admin
Website not loading?,Refresh browser and check internet connection,Refresh Page,Restart Browser,Clear Cache
Payment failed?,Retry payment after checking account balance,Retry Payment,Use Another Card,Contact Bank
How are you?,Talk with trusted people and family members,Call Friend,Talk with Family,Take Rest
How to improve coding skills?,Practice programming daily and build projects,Watch Tutorials,Solve Problems,Build Projects
How to prepare for interviews?,Practice aptitude coding and communication skills,Mock Interviews,Learn DSA,Improve Resume
How to reduce stress?,Take short breaks and maintain healthy habits,Listen Music,Meditation,Talk with Friends
What is AI?,AI is the simulation of human intelligence by machines,Learn AI Basics,Watch Videos,Practice Projects
How to learn Python?,Start with basics and practice small programs daily,Learn Syntax,Build Projects,Practice Coding
How to improve communication?,Speak confidently and practice daily conversations,Read Books,Watch Speeches,Practice Speaking
What is machine learning?,Machine learning helps systems learn from data automatically,Learn ML Basics,Practice Models,Watch Tutorials
How to manage time?,Create a daily schedule and prioritize important tasks,Make Timetable,Avoid Distractions,Set Goals
How to stay motivated?,Set clear goals and celebrate small achievements,Read Success Stories,Exercise Daily,Stay Positive
How to improve concentration?,Avoid distractions and focus on one task at a time,Take Breaks,Meditation,Reduce Mobile Usage
How to prepare for exams?,Revise daily and solve previous question papers,Make Notes,Practice Tests,Group Study
What is cloud computing?,Cloud computing provides online storage and computing services,Learn AWS,Practice Cloud,Watch Tutorials
How to build confidence?,Practice regularly and believe in your abilities,Positive Thinking,Public Speaking,Skill Improvement
Career guidance?,Choose a field based on your interests and skills,Software Jobs,Higher Studies,Government Jobs
How to improve teamwork?,Communicate clearly and support team members,Share Ideas,Help Team,Respect Others
What is cybersecurity?,Cybersecurity protects systems and data from attacks,Learn Security Basics,Use Strong Passwords,Practice Ethical Hacking
How to become a software engineer?,Learn programming and work on real-world projects,Learn Java,Build Apps,Practice Coding
Internet slow?,Restart router and check network connection,Restart Router,Check Data,Contact Provider
Laptop hanging?,Close unnecessary applications and restart system,Restart Laptop,Clear Storage,Scan Virus
Email not working?,Check internet and verify email credentials,Check Password,Refresh Mail,Contact Support
How to improve problem solving?,Practice logical thinking and coding challenges,Solve Puzzles,Practice Coding,Learn Algorithms
What is data science?,Data science analyzes data to extract useful insights,Learn Python,Study Statistics,Practice Projects
How to stay healthy?,Eat nutritious food and exercise regularly,Drink Water,Exercise Daily,Sleep Well
How to avoid distractions while studying?,Keep mobile away and create a study plan,Silent Mode,Study Timetable,Focus Music
How to improve English?,Read books and practice speaking daily,Watch English Videos,Practice Grammar,Speak Daily
question,answer,option1,option2,option3
How to reset password?,Use the forgot password option to create a new password,Reset Password,Contact Support,Try Again
Login issue?,Check your username and password carefully before login,Reset Password,Check Caps Lock,Contact Admin
Website not loading?,Refresh the browser and check your internet connection,Refresh Page,Restart Browser,Clear Cache
Payment failed?,Retry the payment after checking your account balance,Retry Payment,Use Another Card,Contact Bank
How are you?,Talk with trusted people and spend time with family or friends,Call Friend,Talk with Family,Take Rest
How to improve coding skills?,Practice programming daily and work on small projects,Watch Tutorials,Solve Problems,Build Projects
How to prepare for interviews?,Practice aptitude coding and communication skills regularly,Mock Interviews,Learn DSA,Improve Resume
How to reduce stress?,Take short breaks and maintain healthy habits,Listen Music,Meditation,Talk with Friends
What is AI?,Artificial Intelligence helps machines think and learn like humans,Learn AI Basics,Watch Videos,Practice Projects
How to learn Python?,Start with Python basics and practice small programs daily,Learn Syntax,Build Projects,Practice Coding
How to improve communication?,Practice speaking confidently and improve vocabulary,Read Books,Watch Speeches,Practice Speaking
What is machine learning?,Machine learning allows systems to learn from data automatically,Learn ML Basics,Practice Models,Watch Tutorials
How to manage time?,Create a daily timetable and prioritize important tasks,Make Timetable,Avoid Distractions,Set Goals
How to stay motivated?,Set clear goals and celebrate your progress,Read Success Stories,Exercise Daily,Stay Positive
How to improve concentration?,Avoid distractions and focus on one task at a time,Take Breaks,Meditation,Reduce Mobile Usage
How to prepare for exams?,Revise daily and solve previous question papers,Make Notes,Practice Tests,Group Study
What is cloud computing?,Cloud computing provides online storage and computing services,Learn AWS,Practice Cloud,Watch Tutorials
How to build confidence?,Practice regularly and believe in your abilities,Positive Thinking,Public Speaking,Skill Improvement
Career guidance?,Choose a career based on your interests and skills,Software Jobs,Higher Studies,Government Jobs
How to improve teamwork?,Communicate clearly and support your teammates,Share Ideas,Help Team,Respect Others
What is cybersecurity?,Cybersecurity protects systems and data from online attacks,Learn Security Basics,Use Strong Passwords,Practice Ethical Hacking
How to become a software engineer?,Learn programming and build real-world projects,Learn Java,Build Apps,Practice Coding
Internet slow?,Restart the router and check your network connection,Restart Router,Check Data,Contact Provider
Laptop hanging?,Close unnecessary applications and restart the system,Restart Laptop,Clear Storage,Scan Virus
Email not working?,Check internet connection and verify email credentials,Check Password,Refresh Mail,Contact Support
How to improve problem solving?,Practice logical thinking and coding challenges regularly,Solve Puzzles,Practice Coding,Learn Algorithms
What is data science?,Data science helps analyze data for useful insights,Learn Python,Study Statistics,Practice Projects
How to stay healthy?,Eat healthy food and exercise regularly,Drink Water,Exercise Daily,Sleep Well
How to avoid distractions while studying?,Keep your mobile away and follow a study plan,Silent Mode,Study Timetable,Focus Music
How to improve English?,Read books and practice speaking English daily,Watch English Videos,Practice Grammar,Speak Daily
How to learn Java?,Start with Java basics and practice coding every day,Learn OOPs,Practice Programs,Build Projects
How to improve memory?,Revise topics regularly and take proper sleep,Revision,Mind Maps,Sleep Well
How to control anger?,Take deep breaths and stay calm before reacting,Meditation,Talk Slowly,Take Break
How to use ChatGPT?,Ask clear questions to get better answers,Ask Clearly,Give Details,Try Examples
What is full stack development?,Full stack development includes frontend backend and database development,Learn Frontend,Learn Backend,Learn Database
How to improve presentation skills?,Practice speaking and maintain eye contact,Prepare Slides,Practice Speaking,Improve Confidence
What is IoT?,IoT connects smart devices through the internet,Learn Sensors,Study Networking,Build IoT Projects
How to start a project?,Plan requirements and divide work into modules,Create Plan,Design Modules,Start Coding
How to improve typing speed?,Practice typing daily using typing tools,Typing Practice,Use Typing Software,Daily Practice
How to focus on studies?,Create a quiet environment and avoid distractions,Study Room,Turn Off Mobile,Follow Schedule
What is DBMS?,DBMS helps manage and store data efficiently,Learn SQL,Practice Queries,Study Database Concepts
How to prepare for placements?,Practice aptitude coding and communication skills,Mock Tests,Resume Preparation,Technical Practice
How to learn web development?,Start with HTML CSS and JavaScript basics,Learn HTML,Learn CSS,Learn JavaScript
How to improve logical thinking?,Solve reasoning questions and coding problems,Practice Reasoning,Solve Puzzles,Learn Algorithms
How to become confident in public speaking?,Practice speaking in front of friends or mirror,Mirror Practice,Join Discussions,Improve Vocabulary
How to balance study and relaxation?,Follow a proper schedule with short breaks,Study Plan,Take Breaks,Relax Properly
 ,,,,
